kubelet_runtime_operations_duration_seconds_count,104
node_memory_MemAvailable_bytes,6
prometheus_operator_rule_validation_errors_total,2
alertmanager_silences,18
coredns_dns_response_size_bytes_sum,8
kube_daemonset_updated_number_scheduled,10
namespace:kube_pod_container_resource_requests_cpu_cores:sum,4
go_memstats_heap_alloc_bytes,36
prometheus_operator_node_syncs_failed_total,2
prometheus_remote_storage_sent_batch_duration_seconds_sum,4
prometheus_tsdb_compaction_chunk_samples_sum,4
apiserver_request:burnrate6h,2
go_memstats_other_sys_bytes,36
instance:node_network_transmit_drop_excluding_lo:rate1m,6
kube_node_status_condition,90
prometheus_target_scrape_pool_sync_total,60
node_netstat_Udp6_OutDatagrams,6
prometheus_engine_queries_concurrent_max,4
prometheus_tsdb_head_min_time_seconds,4
container_cpu_usage_seconds_total,232
coredns_dns_request_size_bytes_bucket,120
coredns_forward_responses_total,32
kube_replicaset_owner,12
node_memory_Active_bytes,6
scrape_samples_scraped,50
alertmanager_config_hash,6
cluster:node_cpu:sum_rate5m,2
node_memory_HugePages_Surp,6
prometheus_tsdb_lowest_timestamp_seconds,4
prometheus_tsdb_out_of_bound_samples_total,4
alertmanager_cluster_peers_left_total,6
grafana_api_org_create_total,2
kube_deployment_status_observed_generation,12
prometheus_remote_storage_sent_bytes_total,4
apiserver_storage_transformation_operations_total,8
code_verb:apiserver_request_total:increase30d,26
coredns_forward_max_concurrent_rejects_total,4
coredns_panics_total,4
node_disk_writes_merged_total,12
node_filesystem_readonly,18
node_netstat_TcpExt_SyncookiesSent,6
aggregator_openapi_v2_regeneration_duration,8
container_cpu_cfs_throttled_periods_total,46
node_network_flags,70
node_network_transmit_bytes_total,70
prometheus_target_interval_length_seconds_sum,8
grafana_aws_cloudwatch_get_metric_statistics_total,2
kube_pod_status_ready,168
node_vmstat_pgpgout,6
prometheus_remote_storage_string_interner_zero_reference_releases_total,4
alertmanager_nflog_query_duration_seconds_sum,6
go_goroutines,36
prometheus_tsdb_checkpoint_deletions_total,4
apiserver_watch_events_total,72
instance:node_load1_per_cpu:ratio,6
instance:node_memory_utilisation:ratio,6
node_network_transmit_compressed_total,70
apiserver_flowcontrol_read_vs_write_request_count_watermarks_count,8
instance:node_network_receive_bytes_excluding_lo:rate1m,6
prometheus_config_last_reload_successful,4
:kube_pod_info_node_count:,2
kube_pod_container_status_ready,84
kubelet_http_requests_duration_seconds_sum,20
node_disk_discard_time_seconds_total,12
node_memory_HardwareCorrupted_bytes,6
go_threads,36
node_netstat_Tcp_PassiveOpens,6
prometheus_wal_watcher_record_decode_failures_total,4
node_filesystem_free_bytes,18
node_memory_Unevictable_bytes,6
prometheus_operator_triggered_total,34
authentication_token_cache_request_duration_seconds_count,20
